year,city,country,avg_temp,global_temp
1972,New York,United States,9.49,8.50
1973,New York,United States,10.96,8.95
1974,New York,United States,10.08,8.47
1975,New York,United States,10.56,8.74
1976,New York,United States,9.53,8.35
1977,New York,United States,9.96,8.85
1978,New York,United States,9.17,8.69
1979,New York,United States,10.02,8.73
1980,New York,United States,9.86,8.98
1981,New York,United States,9.95,9.17
1982,New York,United States,9.78,8.64
1983,New York,United States,10.51,9.03
1984,New York,United States,10.26,8.69
1985,New York,United States,10.26,8.66
1986,New York,United States,10.15,8.83
1987,New York,United States,10.32,8.99
1988,New York,United States,9.93,9.20
1989,New York,United States,9.66,8.92
1990,New York,United States,11.32,9.23
1991,New York,United States,11.36,9.18
1992,New York,United States,9.57,8.84
1993,New York,United States,10.04,8.87
1994,New York,United States,10.00,9.04
1995,New York,United States,10.24,9.35
1996,New York,United States,9.81,9.04
1997,New York,United States,10.00,9.20
1998,New York,United States,11.82,9.52
1999,New York,United States,11.16,9.29
2000,New York,United States,9.97,9.20
2001,New York,United States,10.93,9.41
2002,New York,United States,11.25,9.57
2003,New York,United States,9.84,9.53
2004,New York,United States,10.39,9.32
2005,New York,United States,10.68,9.70
2006,New York,United States,11.52,9.53
2007,New York,United States,10.63,9.73
2008,New York,United States,10.64,9.43
2009,New York,United States,10.14,9.51
2010,New York,United States,11.36,9.70
2011,New York,United States,11.27,9.52
2012,New York,United States,11.97,9.51
2013,New York,United States,12.16,9.61
